Month,Decade,Tmax(C),Tmin(C)
06,1966-1975,14.7,7.1
06,1966-1975,16.7,10.6
06,1966-1975,16.2,11
06,1966-1975,15.1,5.6
06,1966-1975,13.6,3.9
06,1966-1975,11.7,3.8
06,1966-1975,11.2,4.8
06,1966-1975,12.2,6.6
06,1966-1975,14.4,3.8
06,1966-1975,15.1,11.2
06,1966-1975,16.3,12.9
06,1966-1975,14.8,11.2
06,1966-1975,15,8.6
06,1966-1975,15.7,6.9
06,1966-1975,12.7,8.4
06,1966-1975,12.8,9.6
06,1966-1975,13.9,10.6
06,1966-1975,15.4,11.9
06,1966-1975,14.6,8.5
06,1966-1975,16.6,7.1
06,1966-1975,14.8,8.7
06,1966-1975,15,9.4
06,1966-1975,13.8,8.2
06,1966-1975,14.6,6.4
06,1966-1975,14.8,7.2
07,1966-1975,14.5,7.7
07,1966-1975,13.6,6.7
07,1966-1975,10.6,5.9
07,1966-1975,11.7,6.7
07,1966-1975,11.6,2.3
07,1966-1975,10.6,2.4
07,1966-1975,12.7,7.7
07,1966-1975,15.1,10.5
07,1966-1975,17.2,10.2
07,1966-1975,14.9,10.5
07,1966-1975,13.6,8.4
07,1966-1975,12.7,6.8
07,1966-1975,11.9,3.6
07,1966-1975,12.3,3.3
07,1966-1975,11,4.5
07,1966-1975,12.8,3.5
07,1966-1975,14.4,5.8
07,1966-1975,11.7,3.2
07,1966-1975,11,2.7
07,1966-1975,12.1,1.6
07,1966-1975,14.4,4.1
07,1966-1975,15.6,10
07,1966-1975,16,12.2
07,1966-1975,15.9,10.8
07,1966-1975,17.4,10.4
07,1966-1975,13.2,7.3
07,1966-1975,12.8,5
07,1966-1975,13.7,6.8
07,1966-1975,15.5,7.5
07,1966-1975,15,7.9
07,1966-1975,15.3,9.7
08,1966-1975,15.1,6.7
08,1966-1975,15.3,9.3
08,1966-1975,13.1,8.3
08,1966-1975,13.8,8.5
08,1966-1975,14.7,8.9
08,1966-1975,13.9,9.9
08,1966-1975,13.3,9.9
08,1966-1975,14.3,5.6
08,1966-1975,13.4,5.7
08,1966-1975,15.2,5.2
08,1966-1975,16.7,9.5
08,1966-1975,15.8,11.3
08,1966-1975,16.7,11.7
08,1966-1975,13.3,10.1
08,1966-1975,13.5,5.6
08,1966-1975,14.3,7.2
08,1966-1975,13.3,9.6
08,1966-1975,14.6,7.7
08,1966-1975,13.3,8.2
08,1966-1975,13.1,6.2
08,1966-1975,13.1,2.1
08,1966-1975,13.3,3.6
08,1966-1975,18.1,9.9
08,1966-1975,15.1,8.3
08,1966-1975,14.7,9.4
08,1966-1975,14.1,5.6
08,1966-1975,14.5,10.1
08,1966-1975,14,10.2
08,1966-1975,15,7.2
08,1966-1975,16.1,8.6
08,1966-1975,13.5,8.2
09,1966-1975,12.3,7.2
09,1966-1975,13.4,7.4
09,1966-1975,13.8,5.1
09,1966-1975,14.6,4.5
09,1966-1975,15.2,7.4
09,1966-1975,16.4,7.3
09,1966-1975,16,7.5
09,1966-1975,15.5,9.6
09,1966-1975,16.1,8.9
09,1966-1975,12.5,6.7
09,1966-1975,13.4,8.9
09,1966-1975,13.7,10.2
09,1966-1975,13.9,10
09,1966-1975,14.1,6.7
09,1966-1975,17.7,8.3
09,1966-1975,16.2,10.4
09,1966-1975,15.6,10.2
09,1966-1975,14.3,8.7
09,1966-1975,13.4,9.9
09,1966-1975,13.9,10
09,1966-1975,14.4,9.1
09,1966-1975,15.6,7.9
09,1966-1975,17.4,7.4
09,1966-1975,14.6,7.9
09,1966-1975,14.9,9.8
09,1966-1975,17.7,10.7
09,1966-1975,16.1,7.4
09,1966-1975,12.8,5.3
09,1966-1975,12.7,4.4
09,1966-1975,13.9,3.3
10,1966-1975,14.9,4.4
10,1966-1975,16.4,8.8
10,1966-1975,18.9,12.1
10,1966-1975,18.9,7.2
10,1966-1975,16,6.1
10,1966-1975,17.8,9.4
10,1966-1975,12.9,8.9
10,1966-1975,16.2,12.2
10,1966-1975,16.8,12.8
10,1966-1975,14.6,12.1
10,1966-1975,14.8,7.2
10,1966-1975,13.3,7.8
10,1966-1975,13.6,6.2
10,1966-1975,14,10
10,1966-1975,16.2,8.3
10,1966-1975,14.7,9.4
10,1966-1975,13.3,7
10,1966-1975,14.4,10.6
10,1966-1975,15.4,12.6
10,1966-1975,15.6,10.3
10,1966-1975,16,11.2
10,1966-1975,15.7,12.2
10,1966-1975,17.7,13.2
10,1966-1975,18.1,10.2
10,1966-1975,15.1,7.2
10,1966-1975,17.5,13.3
10,1966-1975,17.6,9.6
10,1966-1975,21.2,13.7
10,1966-1975,16.8,7.3
10,1966-1975,18.1,11.7
10,1966-1975,20.1,10.5
11,1966-1975,16.4,10
11,1966-1975,15.6,11.7
11,1966-1975,15.6,12.2
11,1966-1975,16.1,11.7
11,1966-1975,16.2,11.7
11,1966-1975,15.5,11.1
11,1966-1975,16.2,7.3
11,1966-1975,17.9,7.2
11,1966-1975,18.9,12.4
11,1966-1975,15.8,11.7
11,1966-1975,15.8,10.2
11,1966-1975,16.8,11.9
11,1966-1975,16.6,11.9
11,1966-1975,17.6,13.3
11,1966-1975,20.7,10.3
11,1966-1975,21,12.2
11,1966-1975,17.2,9
11,1966-1975,19.8,11.1
11,1966-1975,16.8,12.7
11,1966-1975,16.3,12.6
11,1966-1975,16.6,10.9
11,1966-1975,18.3,12.7
11,1966-1975,16.4,12.6
11,1966-1975,17.8,11.2
11,1966-1975,19.8,9.9
11,1966-1975,20,8.8
11,1966-1975,19,13.7
11,1966-1975,17.8,13.4
11,1966-1975,19.3,9.4
11,1966-1975,22.1,10.7
12,1966-1975,21.2,13.9
12,1966-1975,18.9,12.3
12,1966-1975,20.4,11.8
12,1966-1975,21.9,14.4
12,1966-1975,22,15.6
12,1966-1975,20.7,16.6
12,1966-1975,21.3,17.6
12,1966-1975,21.2,14.8
12,1966-1975,16.6,12.2
12,1966-1975,15.7,7.8
12,1966-1975,17.3,7.2
12,1966-1975,17.8,8.5
12,1966-1975,20.2,14.1
12,1966-1975,20.1,13.3
12,1966-1975,22.1,14.4
12,1966-1975,19.9,13.4
12,1966-1975,20.7,12.7
12,1966-1975,22.1,12.1
12,1966-1975,19.5,13.8
12,1966-1975,19.3,14.3
12,1966-1975,20.7,11.7
12,1966-1975,20,10.6
12,1966-1975,22.4,15.6
12,1966-1975,21.3,10.3
12,1966-1975,21.2,13.9
12,1966-1975,21.9,11.8
12,1966-1975,21.2,11.7
12,1966-1975,21.1,16.2
12,1966-1975,20.9,15.1
12,1966-1975,21.7,15.7
12,1966-1975,23.1,15
01,1966-1975,22.8,13.4
01,1966-1975,23.2,14.4
01,1966-1975,24.4,12.7
01,1966-1975,21.8,13.8
01,1966-1975,23.3,16.7
01,1966-1975,23.5,18.3
01,1966-1975,21.8,14.8
01,1966-1975,20.4,10.1
01,1966-1975,22,15
01,1966-1975,21.6,12.8
01,1966-1975,23.2,15.1
01,1966-1975,19.9,11.8
01,1966-1975,21.2,13.1
01,1966-1975,22.2,12.8
01,1966-1975,23.6,16.1
01,1966-1975,20.3,12.3
01,1966-1975,19.8,16.2
01,1966-1975,21.1,15.3
01,1966-1975,22.7,13.4
01,1966-1975,22.9,17.1
01,1966-1975,21.9,16.8
01,1966-1975,21.3,16.9
01,1966-1975,20.9,13.8
01,1966-1975,19.9,13.3
01,1966-1975,20.1,14
01,1966-1975,21.8,16.4
01,1966-1975,22.6,15.2
01,1966-1975,21.2,12.7
01,1966-1975,23.8,17.2
01,1966-1975,23.8,15.6
01,1966-1975,21.7,13.9
02,1966-1975,22.2,12.6
02,1966-1975,21.1,12.9
02,1966-1975,22.3,15.8
02,1966-1975,19.8,10.3
02,1966-1975,23.8,17.2
02,1966-1975,23.8,18.5
02,1966-1975,23.6,17.8
02,1966-1975,24,13.9
02,1966-1975,21.6,13.6
02,1966-1975,22.3,15.8
02,1966-1975,22.4,15.4
02,1966-1975,24.1,17.4
02,1966-1975,21.1,16.1
02,1966-1975,22.2,16.6
02,1966-1975,19.7,15.8
02,1966-1975,21,16.2
02,1966-1975,21.3,17.8
02,1966-1975,22.6,17.8
02,1966-1975,19.5,10.6
02,1966-1975,19.8,11.5
02,1966-1975,20.5,13.9
02,1966-1975,21.1,12.9
02,1966-1975,22.9,16.3
02,1966-1975,26.1,15.7
02,1966-1975,24.6,15
02,1966-1975,21.6,14
02,1966-1975,23.3,12.8
02,1966-1975,22.1,13.1
03,1966-1975,22.2,15.6
03,1966-1975,20.5,10.8
03,1966-1975,20.6,15.1
03,1966-1975,19.4,11.6
03,1966-1975,20.1,10.4
03,1966-1975,20.6,14.3
03,1966-1975,23.3,14.2
03,1966-1975,19.6,14.3
03,1966-1975,19.6,16.4
03,1966-1975,19.8,15.6
03,1966-1975,20.6,15.1
03,1966-1975,20.2,13.1
03,1966-1975,22.2,14.4
03,1966-1975,21.6,14.5
03,1966-1975,24.4,12.3
03,1966-1975,23.9,12.2
03,1966-1975,23.2,14.2
03,1966-1975,20,15.1
03,1966-1975,23.3,14.4
03,1966-1975,21.4,12
03,1966-1975,21.7,13.9
03,1966-1975,24.4,13.9
03,1966-1975,18.3,13.9
03,1966-1975,19.5,14.2
03,1966-1975,20.1,13.4
03,1966-1975,19.6,8.9
03,1966-1975,20.5,8.6
03,1966-1975,19.4,11.8
03,1966-1975,20,11.8
03,1966-1975,19.4,12.8
03,1966-1975,19.5,15
04,1966-1975,20.4,12.2
04,1966-1975,20.2,13.3
04,1966-1975,22.9,15.7
04,1966-1975,23.3,16.1
04,1966-1975,19.9,12
04,1966-1975,18.3,13.3
04,1966-1975,18.2,14.6
04,1966-1975,18.9,15.4
04,1966-1975,20.1,15
04,1966-1975,17.1,6.7
04,1966-1975,15.6,8.5
04,1966-1975,17.9,14.3
04,1966-1975,20.9,16.7
04,1966-1975,20.6,16.3
04,1966-1975,17.9,13.7
04,1966-1975,17.7,13.3
04,1966-1975,16.7,5.6
04,1966-1975,20.4,9.4
04,1966-1975,18.9,13.4
04,1966-1975,21.2,14.4
04,1966-1975,19.6,14.4
04,1966-1975,18.8,14.7
04,1966-1975,19.3,14.3
04,1966-1975,21.4,9.4
04,1966-1975,13.8,9.3
04,1966-1975,15.1,8.1
04,1966-1975,15.8,5.4
04,1966-1975,15.3,5
04,1966-1975,16.3,9.1
04,1966-1975,15.5,6
05,1966-1975,15.7,8.4
05,1966-1975,17.1,10.2
05,1966-1975,18,12.6
05,1966-1975,17.6,10.6
05,1966-1975,18.3,13
05,1966-1975,17.8,13.3
05,1966-1975,17.8,13.9
05,1966-1975,17.4,7.8
05,1966-1975,14.1,8.8
05,1966-1975,16.2,12.8
05,1966-1975,16.6,12.8
05,1966-1975,15.7,6.6
05,1966-1975,17.7,6.7
05,1966-1975,16.9,9.6
05,1966-1975,16.7,11.1
05,1966-1975,16.2,12.3
05,1966-1975,19.1,10.4
05,1966-1975,17.2,13.3
05,1966-1975,18.1,12.2
05,1966-1975,16.5,12.4
05,1966-1975,18.2,14.5
05,1966-1975,17.8,11.2
05,1966-1975,17.8,13
05,1966-1975,17.8,12.2
05,1966-1975,16.8,9.1
05,1966-1975,16.5,7.3
05,1966-1975,16.7,9.3
05,1966-1975,15.7,6.3
05,1966-1975,14,3.9
05,1966-1975,13.3,5.4
05,1966-1975,13.8,4
06,1966-1975,10.7,5
06,1966-1975,11.4,7.2
06,1966-1975,13,8.3
06,1966-1975,13.7,3.8
06,1966-1975,13.8,8.5
06,1966-1975,13.8,10
06,1966-1975,13.9,10.9
06,1966-1975,13.9,6.6
06,1966-1975,12.3,9.2
06,1966-1975,13.3,8.4
06,1966-1975,13.4,3.8
06,1966-1975,13.9,5.7
06,1966-1975,14.9,11.1
06,1966-1975,14.4,6.7
06,1966-1975,15.6,8.7
06,1966-1975,17.6,10.1
06,1966-1975,13.8,6.8
06,1966-1975,11.8,7.4
06,1966-1975,12.3,9.2
06,1966-1975,13.8,9
06,1966-1975,12.6,6.1
06,1966-1975,12.7,3.1
06,1966-1975,9.4,3.9
06,1966-1975,13.1,6.7
06,1966-1975,17.3,10.6
06,1966-1975,13.6,9.1
06,1966-1975,13.8,9
06,1966-1975,12.7,6.6
06,1966-1975,12.1,7.3
06,1966-1975,14,10.6
07,1966-1975,14.3,9.4
07,1966-1975,13.6,5.6
07,1966-1975,10.3,0.6
07,1966-1975,12.3,1.2
07,1966-1975,12.2,2.8
07,1966-1975,12.8,5.4
07,1966-1975,13.4,7.9
07,1966-1975,15.3,10.2
07,1966-1975,13.1,8.3
07,1966-1975,13.2,7.9
07,1966-1975,10.7,1.7
07,1966-1975,11,3.6
07,1966-1975,13.1,0.7
07,1966-1975,12.7,2
07,1966-1975,11.5,3.8
07,1966-1975,12.8,7.8
07,1966-1975,13.3,6
07,1966-1975,12.2,6.4
07,1966-1975,13.6,7.7
07,1966-1975,8.9,2.1
07,1966-1975,10,0
07,1966-1975,11.1,1.1
07,1966-1975,10.3,1.4
07,1966-1975,13.3,9.4
07,1966-1975,14.6,5.4
07,1966-1975,14.1,6.7
07,1966-1975,13.3,6.2
07,1966-1975,12.8,2.9
07,1966-1975,12,2.8
07,1966-1975,13.3,5.3
07,1966-1975,13.3,7.7
08,1966-1975,13.2,9.4
08,1966-1975,14.2,8.6
08,1966-1975,14.5,7.9
08,1966-1975,13.4,1.9
08,1966-1975,13.4,3.9
08,1966-1975,14.4,8.8
08,1966-1975,15.8,10.8
08,1966-1975,14.9,12.2
08,1966-1975,13.5,6.6
08,1966-1975,16.7,8.8
08,1966-1975,11.7,3.8
08,1966-1975,12.7,9.4
08,1966-1975,13.8,9.3
08,1966-1975,14.8,10.1
08,1966-1975,13.4,8.3
08,1966-1975,14.3,10.2
08,1966-1975,15,12.2
08,1966-1975,17.4,7.7
08,1966-1975,14.9,10.2
08,1966-1975,14.4,11.2
08,1966-1975,15,8
08,1966-1975,12.8,5.7
08,1966-1975,11.6,3.7
08,1966-1975,13.8,2.2
08,1966-1975,15.1,2.7
08,1966-1975,14.3,3.3
08,1966-1975,13.2,6.7
08,1966-1975,13.7,9.5
08,1966-1975,13.3,4.3
08,1966-1975,14.4,7.3
08,1966-1975,14.4,5.3
09,1966-1975,15.6,8.9
09,1966-1975,14.9,9.2
09,1966-1975,14.1,8.9
09,1966-1975,14.6,6.7
09,1966-1975,17.7,10.4
09,1966-1975,17.8,8.8
09,1966-1975,17.8,12.2
09,1966-1975,17.4,11.8
09,1966-1975,18.3,13.2
09,1966-1975,18.8,14.4
09,1966-1975,17.2,13.3
09,1966-1975,18.7,9
09,1966-1975,17.8,12.8
09,1966-1975,16.8,8.3
09,1966-1975,14.9,7.1
09,1966-1975,16.9,10.4
09,1966-1975,18.3,11.7
09,1966-1975,17.9,9
09,1966-1975,15.7,11.4
09,1966-1975,14.9,4.4
09,1966-1975,15.1,6.6
09,1966-1975,16.6,7.3
09,1966-1975,16.7,6.1
09,1966-1975,18,12.7
09,1966-1975,15,11.7
09,1966-1975,16.2,10.6
09,1966-1975,15.1,11.2
09,1966-1975,17.5,8.4
09,1966-1975,16.2,10.7
09,1966-1975,16.6,7.7
10,1966-1975,15.9,7.9
10,1966-1975,15.7,8.2
10,1966-1975,14.4,8.8
10,1966-1975,17.6,7.8
10,1966-1975,17.3,10.2
10,1966-1975,16.7,7.3
10,1966-1975,17.1,5.6
10,1966-1975,18.7,11.8
10,1966-1975,15.9,10.7
10,1966-1975,17.1,8.9
10,1966-1975,13.6,3.9
10,1966-1975,12.3,2.6
10,1966-1975,14.6,10
10,1966-1975,16.1,11.3
10,1966-1975,16.3,11.5
10,1966-1975,16.3,11.7
10,1966-1975,15.9,11.6
10,1966-1975,17.8,11.6
10,1966-1975,15,11.7
10,1966-1975,15.8,11.7
10,1966-1975,15.8,10.9
10,1966-1975,16.6,10.4
10,1966-1975,17.7,12.3
10,1966-1975,17.7,12
10,1966-1975,17.1,11.6
10,1966-1975,16.7,11.8
10,1966-1975,17.8,12
10,1966-1975,17.9,8.4
10,1966-1975,14.4,9
10,1966-1975,15.4,11
10,1966-1975,16.7,7.8
11,1966-1975,16.1,8.8
11,1966-1975,20.3,8.3
11,1966-1975,17.4,7
11,1966-1975,17.2,13.2
11,1966-1975,17.2,11.9
11,1966-1975,16.7,13.1
11,1966-1975,18.7,9.3
11,1966-1975,19.8,12.7
11,1966-1975,18.7,8.7
11,1966-1975,21.7,14.9
11,1966-1975,22.7,11.6
11,1966-1975,23.1,13.1
11,1966-1975,23.2,13.8
11,1966-1975,22.3,13.1
11,1966-1975,23.1,14.4
11,1966-1975,21.3,12.2
11,1966-1975,23.2,13.3
11,1966-1975,21.9,16.1
11,1966-1975,21.4,15.7
11,1966-1975,20.6,15.5
11,1966-1975,22.1,15.1
11,1966-1975,24.3,14.1
11,1966-1975,21.4,14.6
11,1966-1975,20.3,9.7
11,1966-1975,17.2,11.8
11,1966-1975,18.1,13.4
11,1966-1975,21.2,12.1
11,1966-1975,19.6,14.8
11,1966-1975,19.1,12.3
11,1966-1975,20.2,10.8
12,1966-1975,21.6,16.2
12,1966-1975,21.3,14.4
12,1966-1975,21.4,16.1
12,1966-1975,21,16.1
12,1966-1975,20.8,15
12,1966-1975,19.5,10.1
12,1966-1975,21,12.1
12,1966-1975,21.1,9.9
12,1966-1975,23.7,16.1
12,1966-1975,21.1,15.5
12,1966-1975,24.4,14.4
12,1966-1975,23.7,15.8
12,1966-1975,23.7,16.6
12,1966-1975,23.3,14.8
12,1966-1975,24,15.3
12,1966-1975,25,17.9
12,1966-1975,24,17.5
12,1966-1975,22.2,16.8
12,1966-1975,24.9,15.8
12,1966-1975,25.6,17.2
12,1966-1975,22.8,17.9
12,1966-1975,22.4,18.4
12,1966-1975,23.9,17.8
12,1966-1975,26.6,18.4
12,1966-1975,24.8,19.1
12,1966-1975,26.6,16.7
12,1966-1975,20.3,11.7
12,1966-1975,21.7,15.4
12,1966-1975,20.1,11.1
12,1966-1975,22.8,16.1
12,1966-1975,23.8,17.8
01,1966-1975,22.3,7.8
01,1966-1975,26.7,16.7
01,1966-1975,26.2,17.3
01,1966-1975,26.4,17.8
01,1966-1975,23.6,18.3
01,1966-1975,24.3,18.3
01,1966-1975,25.3,16.7
01,1966-1975,23.4,14.6
01,1966-1975,21.8,15.1
01,1966-1975,22.2,13.5
01,1966-1975,22.6,13.9
01,1966-1975,21.8,16.7
01,1966-1975,21.6,17.2
01,1966-1975,23.5,15.8
01,1966-1975,25.4,19.2
01,1966-1975,24.3,18.1
01,1966-1975,22.2,17.8
01,1966-1975,22.6,17.8
01,1966-1975,23.9,17.2
01,1966-1975,25,15.4
01,1966-1975,24.3,14.3
01,1966-1975,27.1,18.7
01,1966-1975,27.9,18.1
01,1966-1975,28.7,19.1
01,1966-1975,28.4,18.2
01,1966-1975,28.3,17.4
01,1966-1975,27.3,15.7
01,1966-1975,27.5,16.6
01,1966-1975,26.9,18.4
01,1966-1975,25.8,16.2
01,1966-1975,24.4,13.1
02,1966-1975,22.8,14.4
02,1966-1975,24.3,17.4
02,1966-1975,23,16.3
02,1966-1975,23.4,17.3
02,1966-1975,22.8,13.4
02,1966-1975,23.6,12.9
02,1966-1975,23.8,15.7
02,1966-1975,25.6,16
02,1966-1975,20.3,10.8
02,1966-1975,22.2,13.4
02,1966-1975,24.7,16.6
02,1966-1975,26.7,16.6
02,1966-1975,25.6,17.2
02,1966-1975,22.8,12.6
02,1966-1975,27.2,16.2
02,1966-1975,21.6,15.2
02,1966-1975,25.1,12.4
02,1966-1975,24.1,14.8
02,1966-1975,24.1,14.1
02,1966-1975,24.3,11.7
02,1966-1975,24.7,13.9
02,1966-1975,25,13.8
02,1966-1975,22.3,12.8
02,1966-1975,26.7,15.2
02,1966-1975,27,15
02,1966-1975,25.7,15.7
02,1966-1975,24.7,15.1
02,1966-1975,26.7,18.9
03,1966-1975,25.2,18.3
03,1966-1975,23.1,13.4
03,1966-1975,22.8,12.7
03,1966-1975,25.6,15.7
03,1966-1975,25.1,14.4
03,1966-1975,25.6,15.7
03,1966-1975,25.7,19.7
03,1966-1975,25.4,18.2
03,1966-1975,26.7,16.7
03,1966-1975,25.2,19.2
03,1966-1975,26.7,18.9
03,1966-1975,23.7,18.3
03,1966-1975,26.8,18.3
03,1966-1975,26.3,17.7
03,1966-1975,22.8,13.2
03,1966-1975,20.9,12.4
03,1966-1975,19.9,10.1
03,1966-1975,22.4,13.8
03,1966-1975,22.7,14.3
03,1966-1975,21.6,15.6
03,1966-1975,21.1,16.1
03,1966-1975,21.7,15.2
03,1966-1975,19.9,11.1
03,1966-1975,21.2,10.7
03,1966-1975,22.8,17.6
03,1966-1975,22.2,16.7
03,1966-1975,23.1,15.1
03,1966-1975,23.1,17.3
03,1966-1975,21.2,13.1
03,1966-1975,24.9,15.9
03,1966-1975,24.1,17.7
04,1966-1975,23.2,18.3
04,1966-1975,21.7,15
04,1966-1975,20.6,15.9
04,1966-1975,22.7,19.1
04,1966-1975,23.8,17.1
04,1966-1975,20.9,15.9
04,1966-1975,20.4,14.6
04,1966-1975,20,12.7
04,1966-1975,20.9,15
04,1966-1975,18.7,14.4
04,1966-1975,18.9,14.3
04,1966-1975,19.1,14.8
04,1966-1975,19.4,10.9
04,1966-1975,20.3,14.1
04,1966-1975,19.8,12.4
04,1966-1975,21.2,15.2
04,1966-1975,20.1,14.8
04,1966-1975,19.2,8.6
04,1966-1975,19.2,15.6
04,1966-1975,19.6,14.1
04,1966-1975,17.8,9
04,1966-1975,18.8,7.8
04,1966-1975,19.4,9.2
04,1966-1975,22,11.1
04,1966-1975,21.7,10.6
04,1966-1975,22.7,12.9
04,1966-1975,21.7,13.9
04,1966-1975,18.8,13.9
04,1966-1975,19.4,9.7
04,1966-1975,20.9,13.7
05,1966-1975,20.8,11.5
05,1966-1975,18.2,13.4
05,1966-1975,19.4,13.8
05,1966-1975,19.6,9.4
05,1966-1975,17.4,10.5
05,1966-1975,20.5,11.8
05,1966-1975,18,10.1
05,1966-1975,18.9,12.7
05,1966-1975,22.2,13.9
05,1966-1975,20.1,14.6
05,1966-1975,18,5
05,1966-1975,15,2.6
05,1966-1975,14.4,3.2
05,1966-1975,16.2,5.6
05,1966-1975,16.6,9.3
05,1966-1975,16.3,8.3
05,1966-1975,16.7,7.8
05,1966-1975,18.4,7.1
05,1966-1975,17.8,10.6
05,1966-1975,16.2,11.4
05,1966-1975,17.8,12.2
05,1966-1975,18.4,11.7
05,1966-1975,17.3,8.8
05,1966-1975,13.8,8.3
05,1966-1975,15.3,9.3
05,1966-1975,14.4,10.3
05,1966-1975,14.7,3.8
05,1966-1975,12.6,2.7
05,1966-1975,12.7,4.5
05,1966-1975,13.9,4.4
05,1966-1975,14.1,4.4
06,1966-1975,16.6,7.1
06,1966-1975,16.2,9.4
06,1966-1975,17.4,14.4
06,1966-1975,17.9,12.9
06,1966-1975,17.6,13.2
06,1966-1975,19.4,13.4
06,1966-1975,16.2,8.1
06,1966-1975,14.8,6.6
06,1966-1975,14,4.7
06,1966-1975,13.3,4.4
06,1966-1975,12.7,2.9
06,1966-1975,12.2,0.7
06,1966-1975,12.7,0.7
06,1966-1975,12.9,2.3
06,1966-1975,16.4,9.4
06,1966-1975,17.8,7.8
06,1966-1975,17,9.9
06,1966-1975,15.5,10.5
06,1966-1975,15.6,9.4
06,1966-1975,15.3,8
06,1966-1975,13.3,1.5
06,1966-1975,14.6,3.7
06,1966-1975,14.4,5
06,1966-1975,14.3,5.9
06,1966-1975,15.4,8.4
06,1966-1975,12.7,6.6
06,1966-1975,12.8,6.6
06,1966-1975,15.6,8.8
06,1966-1975,15.4,10
06,1966-1975,16.1,9.6
07,1966-1975,15.1,7.7
07,1966-1975,15.4,8.3
07,1966-1975,18.2,10.3
07,1966-1975,17.6,10.5
07,1966-1975,16.1,8.9
07,1966-1975,14.9,8.8
07,1966-1975,15.6,10
07,1966-1975,14.4,7.8
07,1966-1975,15.3,6.1
07,1966-1975,15.1,3.9
07,1966-1975,16.2,6.9
07,1966-1975,17.3,10.6
07,1966-1975,17.6,8.9
07,1966-1975,14.2,7.7
07,1966-1975,12.8,8.3
07,1966-1975,12.8,5.1
07,1966-1975,11.2,0.3
07,1966-1975,12.2,1.6
07,1966-1975,13.9,3.1
07,1966-1975,16.4,6.1
07,1966-1975,15.4,8.3
07,1966-1975,14.3,10
07,1966-1975,14.1,6.3
07,1966-1975,15,9.7
07,1966-1975,14.6,9.5
07,1966-1975,14.6,7.4
07,1966-1975,13.9,7.8
07,1966-1975,12.8,8.9
07,1966-1975,13.3,1.5
07,1966-1975,12.9,4.4
07,1966-1975,14.7,6.1
08,1966-1975,13.9,2.2
08,1966-1975,13.6,4.6
08,1966-1975,16.1,8.8
08,1966-1975,15.9,10.1
08,1966-1975,18.3,13.2
08,1966-1975,15.9,12.1
08,1966-1975,15.6,8.3
08,1966-1975,14.5,7.8
08,1966-1975,12.4,3.9
08,1966-1975,14.4,7.3
08,1966-1975,13.8,8.8
08,1966-1975,14.6,3.9
08,1966-1975,15.2,10.1
08,1966-1975,15.8,11.7
08,1966-1975,14.1,9.8
08,1966-1975,13.9,4.9
08,1966-1975,13.9,5
08,1966-1975,14.1,3.3
08,1966-1975,14.6,4.6
08,1966-1975,16.3,13.2
08,1966-1975,14.3,10.2
08,1966-1975,16.1,10.5
08,1966-1975,15,10.1
08,1966-1975,13.9,5.2
08,1966-1975,11.8,2.8
08,1966-1975,13.6,1.3
08,1966-1975,15.2,6.1
08,1966-1975,14.9,12.8
08,1966-1975,15.7,14.3
08,1966-1975,17.3,12.2
08,1966-1975,17.2,12.9
09,1966-1975,17.1,13.2
09,1966-1975,17.9,12.2
09,1966-1975,15.6,11.8
09,1966-1975,15.1,10.6
09,1966-1975,16.5,6.4
09,1966-1975,16.6,10.2
09,1966-1975,17.7,9.9
09,1966-1975,17.2,9.3
09,1966-1975,18.8,11.4
09,1966-1975,18.3,12.8
09,1966-1975,18.3,14.8
09,1966-1975,17.3,11.8
09,1966-1975,15.2,10
09,1966-1975,16.1,5.7
09,1966-1975,16.6,8.9
09,1966-1975,18.2,10.7
09,1966-1975,17.2,12.7
09,1966-1975,15,10.2
09,1966-1975,15.7,7.6
09,1966-1975,17.7,9.4
09,1966-1975,14.4,8.2
09,1966-1975,13.8,3.6
09,1966-1975,14.1,7.8
09,1966-1975,15.9,8.8
09,1966-1975,15.3,13.7
09,1966-1975,17.9,11.1
09,1966-1975,13.2,5.6
09,1966-1975,14.6,8.9
09,1966-1975,15.8,10.1
09,1966-1975,16.7,11.4
10,1966-1975,17.2,12.6
10,1966-1975,19,10.6
10,1966-1975,16.9,11.4
10,1966-1975,15.5,9.2
10,1966-1975,19.4,14
10,1966-1975,17.4,13.9
10,1966-1975,16.4,14.5
10,1966-1975,18.3,12.7
10,1966-1975,17,14
10,1966-1975,16.5,11.5
10,1966-1975,14.3,10.6
10,1966-1975,15.3,11.7
10,1966-1975,16.2,10.5
10,1966-1975,16.9,12.1
10,1966-1975,21.7,15.7
10,1966-1975,21,13.2
10,1966-1975,15.9,10.3
10,1966-1975,15.1,8
10,1966-1975,15.2,10.6
10,1966-1975,16.7,9.6
10,1966-1975,16.2,12.5
10,1966-1975,16.7,12.5
10,1966-1975,18.6,9.9
10,1966-1975,21.5,13.4
10,1966-1975,17,12.6
10,1966-1975,16.7,7.2
10,1966-1975,19.5,13
10,1966-1975,19.2,14.6
10,1966-1975,18.4,15
10,1966-1975,17.8,13.2
10,1966-1975,21.6,16.5
11,1966-1975,21.1,15.7
11,1966-1975,19.6,12.2
11,1966-1975,21.6,13.8
11,1966-1975,19.6,12.9
11,1966-1975,19,11.3
11,1966-1975,17.9,11.5
11,1966-1975,18.7,9.7
11,1966-1975,18.8,14.1
11,1966-1975,18,12.7
11,1966-1975,18.3,8.2
